# state after step 4   (field 21 words)
F0001 | steps done one after another | is in the field of | child | 0.36 | assertion | sensory; cost 4
F0002 | it must come to an end | is in the field of | child | 0.36 | assertion | sensory; cost 6
F0003 | following instructions | is in the field of | child | 0.32 | assertion | carried; cost 2
F0004 | same steps, same result every time | is in the field of | child | 0.29 | assertion | carried; cost 6
F0005 | every step must be exact | is in the field of | child | 0.29 | assertion | carried; cost 3
F0006 | child | has tail statistic | intensity | 0.00 | assertion | -
F0007 | child | has tail statistic | valence | 0.00 | assertion | -
F0008 | child | has tail statistic | count | 0.00 | assertion | -
F0009 | child | has tail statistic | spread | 0.00 | assertion | -
F0010 | steps done one after another | is in memory of | child | 0.36 | assertion | cost 4
F0011 | it must come to an end | is in memory of | child | 0.36 | assertion | cost 6
F0012 | following instructions | is in memory of | child | 0.32 | assertion | cost 2
F0013 | same steps, same result every time | is in memory of | child | 0.29 | assertion | cost 6
F0014 | every step must be exact | is in memory of | child | 0.29 | assertion | cost 3
F0015 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0016 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0017 | a robot | is in memory of | child | 0.40 | assertion | cost 2
F0018 | a computer | is in memory of | child | 0.40 | assertion | cost 2
F0019 | brushing your teeth | is in memory of | child | 0.50 | assertion | cost 3
F0020 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3

# trace — the analyst's view, not the reader's
#   understood: steps done one after another
#   understood: it must come to an end
#   felt a Turing machine: 0.00
#   felt the halting problem: 0.22
#   felt formal semantics: 0.26
