# state after step 5   (field 22 words)
F0001 | every step must be exact | is in the field of | child | 0.36 | assertion | sensory; cost 3
F0002 | anyone can follow it without knowing why | is in the field of | child | 0.36 | assertion | sensory; cost 7
F0003 | steps done one after another | is in the field of | child | 0.29 | assertion | carried; cost 4
F0004 | it must come to an end | is in the field of | child | 0.29 | assertion | carried; cost 6
F0005 | following instructions | is in the field of | child | 0.26 | assertion | carried; cost 2
F0006 | child | has tail statistic | intensity | 0.00 | assertion | -
F0007 | child | has tail statistic | valence | 0.00 | assertion | -
F0008 | child | has tail statistic | count | 0.00 | assertion | -
F0009 | child | has tail statistic | spread | 0.00 | assertion | -
F0010 | every step must be exact | is in memory of | child | 0.36 | assertion | cost 3
F0011 | anyone can follow it without knowing why | is in memory of | child | 0.36 | assertion | cost 7
F0012 | steps done one after another | is in memory of | child | 0.29 | assertion | cost 4
F0013 | it must come to an end | is in memory of | child | 0.29 | assertion | cost 6
F0014 | following instructions | is in memory of | child | 0.26 | assertion | cost 2
F0015 | same steps, same result every time | is in memory of | child | 0.22 | assertion | cost 6
F0016 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0017 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0018 | a robot | is in memory of | child | 0.40 | assertion | cost 2
F0019 | a computer | is in memory of | child | 0.40 | assertion | cost 2
F0020 | brushing your teeth | is in memory of | child | 0.50 | assertion | cost 3
F0021 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3

# trace — the analyst's view, not the reader's
#   evicted same steps, same result every time (0.23): no room: 6 words, 2.0 left
#   understood: every step must be exact
#   understood: anyone can follow it without knowing why
#   felt a Turing machine: 0.18
#   felt the halting problem: 0.17
#   felt formal semantics: 0.28
