# state after step 7   (field 23 words)
F0001 | a computer | is in the field of | child | 0.40 | assertion | sensory; cost 2
F0002 | a computer only follows algorithms | is in the field of | child | 0.36 | assertion | sensory; cost 5
F0003 | anyone can follow it without knowing why | is in the field of | child | 0.36 | assertion | sensory; cost 6
F0004 | an algorithm | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0005 | every step must be exact | is in the field of | child | 0.29 | assertion | carried; cost 2
F0006 | steps done one after another | is in the field of | child | 0.29 | assertion | carried; cost 4
F0007 | a game | is in the field of | child | 0.21 | assertion | associative via a computer; cost 2
F0008 | child | has tail statistic | intensity | 0.00 | assertion | -
F0009 | child | has tail statistic | valence | 0.00 | assertion | -
F0010 | child | has tail statistic | count | 0.00 | assertion | -
F0011 | child | has tail statistic | spread | 0.00 | assertion | -
F0012 | a computer | is in memory of | child | 0.40 | assertion | cost 2
F0013 | a computer only follows algorithms | is in memory of | child | 0.36 | assertion | cost 5
F0014 | anyone can follow it without knowing why | is in memory of | child | 0.36 | assertion | cost 6
F0015 | an algorithm | is in memory of | child | 0.36 | assertion | cost 2
F0016 | every step must be exact | is in memory of | child | 0.29 | assertion | cost 2
F0017 | steps done one after another | is in memory of | child | 0.29 | assertion | cost 4
F0018 | a game | is in memory of | child | 0.21 | assertion | cost 2
F0019 | it must come to an end | is in memory of | child | 0.27 | assertion | cost 6
F0020 | following instructions | is in memory of | child | 0.40 | assertion | cost 2
F0021 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0022 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0023 | a robot | is in memory of | child | 0.40 | assertion | cost 2
F0024 | brushing your teeth | is in memory of | child | 0.50 | assertion | cost 3
F0025 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3

# trace — the analyst's view, not the reader's
#   evicted it must come to an end (0.29): no room: 6 words, 3.0 left
#   evicted following instructions (0.17): below k
#   understood: a computer only follows algorithms
#   understood: anyone can follow it without knowing why
#   understood: an algorithm
#   felt a Turing machine: 0.32
#   felt the halting problem: 0.16
#   felt formal semantics: 0.17
