# state after step 1   (field 12 words)
F0001 | tiny things | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0002 | looking at it | is in the field of | child | 0.27 | assertion | sensory; cost 7
F0003 | ants | is in the field of | child | 0.20 | assertion | sensory; cost 3
F0004 | child | has tail statistic | intensity | 0.00 | assertion | -
F0005 | child | has tail statistic | valence | 0.00 | assertion | -
F0006 | child | has tail statistic | count | 0.00 | assertion | -
F0007 | child | has tail statistic | spread | 0.00 | assertion | -
F0008 | tiny things | is in memory of | child | 0.36 | assertion | cost 2
F0009 | looking at it | is in memory of | child | 0.27 | assertion | cost 7
F0010 | ants | is in memory of | child | 0.20 | assertion | cost 3
F0011 | looking at it | has satisfaction delta | understanding | 0.3 | assertion | established by the chunk

# trace — the analyst's view, not the reader's
#   understood: tiny things
#   felt wavefunction: 0.00
#   felt probability amplitude: 0.00
#   felt collapse: 0.00
