# state after step 8   (field 14 words)
F0001 | tiny things | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0002 | both at once until you look | is in the field of | child | 0.36 | assertion | sensory; cost 6
F0003 | looking at it | is in the field of | child | 0.36 | assertion | sensory; cost 3
F0004 | looking changes it | is in the field of | child | 0.36 | assertion | sensory; cost 3
F0005 | child | has tail statistic | intensity | 0.00 | assertion | -
F0006 | child | has tail statistic | valence | 0.00 | assertion | -
F0007 | child | has tail statistic | count | 0.00 | assertion | -
F0008 | child | has tail statistic | spread | 0.00 | assertion | -
F0009 | tiny things | is in memory of | child | 0.36 | assertion | cost 2
F0010 | both at once until you look | is in memory of | child | 0.36 | assertion | cost 6
F0011 | looking at it | is in memory of | child | 0.36 | assertion | cost 3
F0012 | looking changes it | is in memory of | child | 0.36 | assertion | cost 3
F0013 | the pattern from many tries | is in memory of | child | 0.25 | assertion | cost 8

# trace — the analyst's view, not the reader's
#   evicted the pattern from many tries (0.29): displaced by looking changes it
#   evicted you cannot know which until you look (0.18): below k
#   evicted ants (0.10): below k
#   understood: tiny things
#   understood: both at once until you look
#   understood: looking at it
#   understood: looking changes it
#   felt wavefunction: 0.22
#   felt probability amplitude: 0.13
#   felt collapse: 0.25
