# state after step 6   (field 40 words)

# --- field of consciousness: what the reader can report
F0001 | the unknown x | is in the field of | student | 0.43 | assertion | sensory; cost 1
F0002 | the quadratic formula | is in the field of | student | 0.36 | assertion | sensory; cost 3
F0003 | the discriminant | is in the field of | student | 0.36 | assertion | sensory; cost 2
F0004 | a root of the equation | is in the field of | student | 0.36 | assertion | sensory; cost 5
F0005 | the square root | is in the field of | student | 0.34 | assertion | sensory; cost 1
F0006 | the sign of the discriminant tells how many roots | is in the field of | student | 0.31 | assertion | carried; cost 9
F0007 | two roots, one root, or none | is in the field of | student | 0.31 | assertion | carried; cost 5
F0008 | a quadratic equation | is in the field of | student | 0.26 | assertion | carried; cost 3
F0009 | a formula to memorise | is in the field of | student | 0.26 | assertion | associative via a formula; cost 2
F0010 | expanding brackets | is in the field of | student | 0.25 | assertion | carried; cost 2
F0011 | a worked example | is in the field of | student | 0.25 | assertion | carried; cost 2
F0012 | checking a root by substitution | is in the field of | student | 0.22 | assertion | carried; cost 5
F0013 | a worked example | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0014 | the quadratic formula | attracts | student | a little | assertion | the motivational component of the image, as a proportion of the Field's pull
F0015 | the discriminant | attracts | student | a little | assertion | the motivational component of the image, as a proportion of the Field's pull
F0016 | a root of the equation | attracts | student | a little | assertion | the motivational component of the image, as a proportion of the Field's pull
F0017 | the sign of the discriminant tells how many roots | attracts | student | a little | assertion | the motivational component of the image, as a proportion of the Field's pull
F0018 | two roots, one root, or none | attracts | student | a little | assertion | the motivational component of the image, as a proportion of the Field's pull
F0019 | a quadratic equation | attracts | student | a little | assertion | the motivational component of the image, as a proportion of the Field's pull
F0020 | checking a root by substitution | attracts | student | a little | assertion | the motivational component of the image, as a proportion of the Field's pull
F0021 | student | wants more | a worked example than the quadratic formula | far | assertion | the comparison the reader can actually make
F0022 | student | has consciousness components | 3 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0023 | student | wants | a quadratic equation, checking a root by substitution, a root of the equation | - | assertion | retrospective: what pulled over the last steps, named by the images
F0024 | student | is surprised by itself | 2 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0025 | student | notices about itself | came to mind | - | assertion | a kind of self-surprise seen more than once has become a name
F0026 | student | has tail statistic | intensity | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0027 | student | has tail statistic | valence | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0028 | student | has tail statistic | count | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0029 | student | has tail statistic | spread | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0030 | student | does | reads on | - | assertion | the program that has the channel
