# state after step 2   (field 25 words)

# --- field of consciousness: what the reader can report
F0001 | the unknown x | is in the field of | student | 0.60 | assertion | sensory; cost 2
F0002 | a worked example | is in the field of | student | 0.47 | assertion | associative via an example; cost 2
F0003 | a linear equation | is in the field of | student | 0.42 | assertion | carried; cost 3
F0004 | a root of the equation | is in the field of | student | 0.36 | assertion | sensory; cost 5
F0005 | checking a root by substitution | is in the field of | student | 0.36 | assertion | sensory; cost 5
F0006 | a quadratic equation | is in the field of | student | 0.31 | assertion | carried; cost 3
F0007 | the example equation | is in the field of | student | 0.20 | assertion | sensory; cost 5
F0008 | a worked example | attracts | student | much | assertion | the motivational component of the image, as a proportion of the Field's pull
F0009 | a root of the equation | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0010 | checking a root by substitution | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0011 | a quadratic equation | attracts | student | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0012 | student | wants more | a worked example than a root of the equation | far | assertion | the comparison the reader can actually make
F0013 | student | has consciousness components | 3 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0014 | student | wants | a quadratic equation, checking a root by substitution, a root of the equation | - | assertion | retrospective: what pulled over the last steps, named by the images
F0015 | student | is surprised by itself | 0 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0016 | student | has tail statistic | intensity | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0017 | student | has tail statistic | valence | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0018 | student | has tail statistic | count | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0019 | student | has tail statistic | spread | 0.00 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0020 | student | does | reads on | - | assertion | the program that has the channel
F0021 | student | attends to | reality | 0.36 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.00

F0022 | student | has met self-surprise | came to mind | 1 | assertion | objective: how often this kind has occurred

# --- long-term memory
F0023 | the unknown x | is in memory of | student | 0.60 | assertion | cost 2
F0024 | a worked example | is in memory of | student | 0.47 | assertion | cost 2
F0025 | a linear equation | is in memory of | student | 0.42 | assertion | cost 3
F0026 | a root of the equation | is in memory of | student | 0.36 | assertion | cost 5
F0027 | checking a root by substitution | is in memory of | student | 0.36 | assertion | cost 5
F0028 | a quadratic equation | is in memory of | student | 0.31 | assertion | cost 3
F0029 | the example equation | is in memory of | student | 0.20 | assertion | cost 5
F0030 | the square root | is in memory of | student | 0.40 | assertion | cost 3
F0031 | expanding brackets | is in memory of | student | 0.40 | assertion | cost 2
F0032 | the area of a square | is in memory of | student | 0.30 | assertion | cost 4
F0033 | a worked example | has pulled | student | 0.89 | assertion | what the retrospective 'wants' is made of
F0034 | a quadratic equation | has pulled | student | 0.54 | assertion | what the retrospective 'wants' is made of
F0035 | a root of the equation | has pulled | student | 0.36 | assertion | what the retrospective 'wants' is made of
F0036 | checking a root by substitution | has pulled | student | 0.36 | assertion | what the retrospective 'wants' is made of

# --- need portrait (objective: its own vocabulary, not the reader's)
#   components by need: none 3, understanding 3, getting the answer right 1
#   pull of each image: a worked example +0.59, a root of the equation +0.36, checking a root by substitution +0.36, a quadratic equation +0.36
#   the reader's 'wants' resolves to understanding; the program is understanding
F0037 | a quadratic equation | has satisfaction delta | understanding | 0.45 | assertion | understood
F0038 | a root of the equation | has satisfaction delta | understanding | 0.45 | assertion | understood
F0039 | checking a root by substitution | has satisfaction delta | understanding | 0.45 | assertion | understood
F0040 | student | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0041 | student | has conflict level | 0.27 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   x squared (0.17): below k
#   an example (0.17): below k
#   the area of a square (0.08): below k

# --- trace
#   understood: a root of the equation
#   understood: checking a root by substitution
#   need mass in the Field: understanding 1.32, getting the answer right 0.35
#   mode reality: reality yield 0.36, fantasy yield 0.00
#   felt complex numbers: 0.00
#   felt the fundamental theorem of algebra: 0.00
#   felt Vieta's theorem: 0.25
#   self-model: predicted the unknown x, a worked example, a linear equation, a quadratic equation; program understanding
