# state after step 10   (field 24 words)

# --- field of consciousness: what the reader can report
F0001 | an algorithm | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0002 | anyone can follow it without knowing why | is in the field of | child | 0.36 | assertion | sensory; cost 6
F0003 | a computer only follows algorithms | is in the field of | child | 0.36 | assertion | sensory; cost 5
F0004 | a bug | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0005 | doing it yourself | is in the field of | child | 0.30 | assertion | sensory; cost 3
F0006 | steps done one after another | is in the field of | child | 0.29 | assertion | carried; cost 4
F0007 | every step must be exact | is in the field of | child | 0.29 | assertion | carried; cost 2
F0008 | an algorithm | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0009 | anyone can follow it without knowing why | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0010 | a computer only follows algorithms | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0011 | a bug | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0012 | steps done one after another | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0013 | every step must be exact | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0014 | doing it yourself | attracts | child | somewhat | assertion | the motivational component of the image, as a proportion of the Field's pull
F0015 | child | wants more | an algorithm than anyone can follow it without knowing why | somewhat | assertion | the comparison the reader can actually make
F0016 | child | has consciousness components | 2 | - | assertion | how many pieces the field is in; which needs is the analyst's to say
F0017 | child | wants | steps done one after another, same steps, same result every time, every step must be exact | - | assertion | retrospective: what pulled over the last steps, named by the images
F0018 | child | is surprised by itself | 3 | - | assertion | how far I differ from what I expected of myself: a mass, no names
F0019 | child | notices about itself | forgot | - | assertion | a kind of self-surprise seen more than once has become a name
F0020 | child | has tail statistic | intensity | 0.72 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0021 | child | has tail statistic | valence | 0.72 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0022 | child | has tail statistic | count | 2.00 | assertion | the field of mind, as it reaches consciousness: mass, no names
F0023 | child | has tail statistic | spread | 0.50 | assertion | the field of mind, as it reaches consciousness: mass, no names

# --- motor field: the one continuation
F0024 | child | does | reads on | - | assertion | the program that has the channel
F0025 | child | attends to | reality | 0.35 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.00

F0026 | child | has met self-surprise | forgot | 6 | assertion | objective: how often this kind has occurred
F0027 | child | has met self-surprise | came to mind | 1 | assertion | objective: how often this kind has occurred
F0028 | child | has items at control levels | L2 5, L4 7, L5 6, L6 1 | - | assertion | 1 reacted only; 2 conscious as something, gone; 4 named; 5 related; 6 generative. L3 not representable yet

# --- long-term memory
F0029 | an algorithm | is in memory of | child | 0.36 | assertion | cost 2
F0030 | anyone can follow it without knowing why | is in memory of | child | 0.36 | assertion | cost 6
F0031 | a computer only follows algorithms | is in memory of | child | 0.36 | assertion | cost 5
F0032 | a bug | is in memory of | child | 0.36 | assertion | cost 2
F0033 | doing it yourself | is in memory of | child | 0.30 | assertion | cost 3
F0034 | steps done one after another | is in memory of | child | 0.29 | assertion | cost 4
F0035 | every step must be exact | is in memory of | child | 0.29 | assertion | cost 2
F0036 | it must come to an end | is in memory of | child | 0.27 | assertion | cost 6
F0037 | same steps, same result every time | is in memory of | child | 0.27 | assertion | cost 6
F0038 | a computer | is in memory of | child | 0.40 | assertion | cost 2
F0039 | following instructions | is in memory of | child | 0.40 | assertion | cost 2
F0040 | a recipe | is in memory of | child | 0.40 | assertion | cost 2
F0041 | the rules of a game | is in memory of | child | 0.50 | assertion | cost 4
F0042 | a robot | is in memory of | child | 0.40 | assertion | cost 2
F0043 | brushing your teeth | is in memory of | child | 0.50 | assertion | cost 3
F0044 | making a sandwich | is in memory of | child | 0.40 | assertion | cost 3
F0045 | steps done one after another | has pulled | child | 0.72 | assertion | what the retrospective 'wants' is made of
F0046 | every step must be exact | has pulled | child | 0.72 | assertion | what the retrospective 'wants' is made of
F0047 | same steps, same result every time | has pulled | child | 0.72 | assertion | what the retrospective 'wants' is made of
