# state after step 1   (field 35 words)
F0001 | the unknown x | is in the field of | student | 0.60 | assertion | sensory; cost 3
F0002 | a linear equation | is in the field of | student | 0.50 | assertion | sensory; cost 3
F0003 | a quadratic equation | is in the field of | student | 0.36 | assertion | sensory; cost 17
F0004 | a worked example | is in the field of | student | 0.28 | assertion | associative via an example; cost 2
F0005 | x squared | is in the field of | student | 0.20 | assertion | sensory; cost 2
F0006 | an example | is in the field of | student | 0.20 | assertion | sensory; cost 1
F0007 | the example equation | is in the field of | student | 0.20 | assertion | sensory; cost 7
F0008 | student | has tail statistic | intensity | 0.00 | assertion | -
F0009 | student | has tail statistic | valence | 0.00 | assertion | -
F0010 | student | has tail statistic | count | 0.00 | assertion | -
F0011 | student | has tail statistic | spread | 0.00 | assertion | -
F0012 | the unknown x | is in memory of | student | 0.60 | assertion | cost 3
F0013 | a linear equation | is in memory of | student | 0.50 | assertion | cost 3
F0014 | a quadratic equation | is in memory of | student | 0.36 | assertion | cost 17
F0015 | a worked example | is in memory of | student | 0.28 | assertion | cost 2
F0016 | x squared | is in memory of | student | 0.20 | assertion | cost 2
F0017 | an example | is in memory of | student | 0.20 | assertion | cost 1
F0018 | the example equation | is in memory of | student | 0.20 | assertion | cost 7
F0019 | the square root | is in memory of | student | 0.40 | assertion | cost 3
F0020 | expanding brackets | is in memory of | student | 0.40 | assertion | cost 2
F0021 | the area of a square | is in memory of | student | 0.30 | assertion | cost 4

# trace — the analyst's view, not the reader's
#   evicted the area of a square (0.08): below k
#   understood: a quadratic equation
#   felt complex numbers: 0.00
#   felt the fundamental theorem of algebra: 0.00
#   felt Vieta's theorem: 0.00
